county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Plumas,09/09/2020,0,0,0,35,0,0,0
Napa,11/06/2020,0,3,3,397,0,0,3
Santa Barbara,25/08/2020,52,8,60,666,22,1,42
Stanislaus,04/09/2021,330,10,340,1374,71,0,13
Mariposa,11/06/2021,0,0,0,14,0,0,0
Amador,12/09/2021,12,0,12,53,5,0,0
Tulare,20/09/2020,37,10,47,664,8,0,21
San Luis Obispo,29/12/2020,61,0,61,460,15,0,19
San Joaquin,24/08/2020,131,22,153,1003,39,4,28
Alameda,14/06/2021,37,30,67,2473,6,6,109
Placer,28/05/2020,5,18,23,753,3,3,33
Placer,29/06/2020,13,9,22,753,4,1,33
Placer,15/07/2021,60,12,72,795,11,1,14
Siskiyou,30/05/2020,0,0,0,65,0,1,2
Shasta,19/07/2021,11,0,11,561,1,0,24
San Diego,04/12/2020,772,35,807,6824,200,2,210
Imperial,18/12/2020,179,0,179,265,40,0,0
Placer,03/10/2021,118,14,132,771,42,1,13
San Diego,14/04/2020,243,109,,,101,22,162
Lake,18/07/2021,3,0,3,64,2,0,1
Merced,26/01/2021,54,0,54,271,16,0,1
El Dorado,01/09/2021,23,0,23,190,8,0,2
Plumas,27/07/2020,0,1,1,51,0,0,0
Modoc,25/05/2021,0,0,0,12,0,0,0
Mariposa,29/08/2020,0,0,0,19,0,0,0
San Francisco,27/02/2021,78,8,86,2114,24,3,75
Tulare,10/05/2021,15,9,24,667,1,0,21
Stanislaus,04/01/2021,355,7,362,1298,61,1,18
Solano,21/08/2021,142,12,154,609,21,0,4
Kings,18/06/2020,48,2,50,199,10,0,1
Inyo,23/05/2020,0,0,0,42,0,0,4
Tuolumne,16/07/2020,3,0,3,151,0,0,1
Napa,29/07/2020,10,0,10,359,5,0,13
San Francisco,10/08/2021,109,8,117,2139,33,0,80
San Bernardino,14/05/2021,68,15,83,3551,16,3,153
San Francisco,05/07/2021,15,11,26,2136,6,1,104
San Joaquin,10/05/2020,15,28,43,1366,2,8,19
Inyo,17/11/2020,0,0,0,29,0,0,4
Mono,13/12/2020,1,0,1,17,0,0,1
Siskiyou,16/07/2021,1,0,1,56,0,0,4
Imperial,07/05/2021,15,1,16,236,6,0,5
Contra Costa,02/06/2020,15,41,56,1628,8,12,94
Tulare,18/09/2020,38,6,44,678,6,0,24
Santa Barbara,22/09/2021,47,1,48,614,15,0,23
San Luis Obispo,27/12/2020,56,1,57,460,13,0,20
Santa Barbara,26/02/2021,74,6,80,603,18,1,28
San Mateo,10/04/2020,56,12,,,18,3,41
Imperial,22/01/2021,104,1,105,234,52,0,0
Yolo,02/12/2020,20,0,20,96,11,0,6
Solano,19/11/2020,54,10,64,609,10,1,18
Sutter,19/06/2020,0,0,0,14,0,0,
Modoc,09/02/2021,1,0,1,12,0,0,0
Plumas,09/07/2020,0,0,0,45,0,0,
Mendocino,07/05/2021,0,0,0,123,0,0,2
Santa Cruz,27/06/2021,2,0,2,372,1,0,9
Ventura,12/06/2020,46,63,109,1361,12,11,42
Marin,13/06/2020,10,2,12,390,3,0,12
San Bernardino,01/04/2020,95,196,,,39,52,34
Mariposa,16/07/2021,0,0,0,14,0,0,0
Santa Cruz,10/07/2021,1,0,1,372,0,0,4
San Francisco,29/10/2020,37,2,39,1874,8,1,71
Santa Cruz,18/01/2021,78,1,79,372,12,0,0
Alameda,11/03/2021,107,30,137,2494,31,1,86
Contra Costa,27/10/2020,33,10,43,1467,11,0,47
Del Norte,11/03/2021,0,0,0,52,0,0,4
Contra Costa,11/06/2020,22,29,51,1628,11,4,112
Riverside,03/06/2021,31,16,47,3256,7,4,114
Contra Costa,27/06/2021,28,7,35,1313,9,1,47
Inyo,29/04/2020,0,0,0,56,0,0,6
Yuba,19/06/2021,8,0,8,261,3,0,6
Humboldt,05/12/2020,7,2,9,278,1,0,5
Fresno,12/08/2020,260,39,299,1568,57,2,9
Contra Costa,21/07/2021,68,18,86,1357,22,2,37
Marin,30/10/2020,5,5,10,361,1,1,15
Lassen,14/09/2020,0,0,0,25,0,0,0
Glenn,29/05/2020,0,0,0,47,0,0,
El Dorado,20/08/2020,2,1,3,189,2,1,8
Siskiyou,19/05/2020,0,0,0,65,0,0,3
Glenn,27/07/2020,0,2,2,47,0,0,0
Shasta,30/06/2021,6,0,6,561,0,0,22
Alameda,25/01/2021,396,40,436,2523,115,4,72
San Benito,01/10/2021,5,0,5,25,1,0,1
Del Norte,02/09/2021,20,0,20,48,6,0,0
Inyo,21/08/2021,0,1,1,29,0,0,1
Napa,28/10/2020,4,0,4,351,1,0,23
Napa,12/01/2021,30,1,31,207,14,0,0
Fresno,31/05/2021,51,12,63,1481,10,1,25
Merced,22/07/2021,16,0,16,271,4,0,12
Mariposa,10/08/2020,0,0,0,19,0,0,0
Merced,21/03/2021,20,0,20,271,9,0,11
Inyo,20/12/2020,10,0,10,29,0,0,4
Lake,20/10/2020,2,0,2,65,2,0,1
San Benito,01/09/2020,4,0,4,25,2,0,1
Yuba,02/10/2020,7,0,7,265,2,0,11
Santa Clara,23/06/2021,39,14,53,3077,13,1,87
Santa Clara,20/11/2020,184,13,197,3054,50,1,56
San Francisco,15/07/2020,95,13,108,2647,32,0,114
San Francisco,02/10/2021,70,9,79,2151,25,0,71
Tuolumne,27/07/2021,7,1,8,72,1,0,2
Madera,29/11/2020,24,7,31,329,7,0,14
Sutter,26/08/2021,0,0,0,14,0,0,0
Calaveras,13/07/2021,0,0,0,33,0,0,5
Fresno,11/09/2021,377,14,391,1544,82,0,10
Marin,01/08/2020,28,6,34,319,6,1,9
Plumas,17/06/2020,0,0,0,45,0,0,
Napa,25/01/2021,24,0,24,196,8,0,0
Solano,23/10/2020,20,11,31,564,2,2,9
Riverside,01/03/2021,301,45,346,3208,73,1,66
Mariposa,12/03/2021,0,0,0,14,0,0,0
Tuolumne,09/06/2020,0,0,0,151,0,0,3
San Luis Obispo,23/10/2020,8,0,8,460,1,0,26
Madera,28/03/2021,4,6,10,278,0,1,12
Sacramento,24/05/2020,9,17,26,2363,2,4,110
Shasta,16/04/2021,9,0,9,567,2,0,15
Stanislaus,27/01/2021,288,13,301,1297,62,2,15
Yuba,12/09/2020,20,2,22,265,4,0,9
Yolo,07/02/2021,10,0,10,131,6,0,3
Santa Cruz,12/06/2021,2,0,2,372,1,0,11
Tehama,22/10/2020,6,0,6,59,2,0,1
Santa Cruz,09/11/2020,8,0,8,389,3,0,7
Yolo,07/01/2021,31,0,31,169,10,0,17
Stanislaus,12/05/2020,19,15,34,1369,1,2,81
Monterey,03/10/2020,29,0,29,702,5,0,24
Tulare,16/06/2021,6,12,18,667,1,3,19
Tulare,18/03/2021,40,5,45,667,5,1,23
Imperial,09/04/2021,15,1,16,234,6,0,7
Madera,26/08/2021,36,12,48,284,9,0,3
Inyo,05/03/2021,2,0,2,29,0,0,1
Nevada,23/02/2021,2,1,3,115,1,0,3
Lassen,20/09/2020,0,0,0,25,0,0,0
Orange,31/05/2020,283,124,407,6993,120,22,408
Yuba,10/05/2021,7,0,7,261,1,0,9
Mono,20/03/2021,0,0,0,17,0,0,2
El Dorado,27/06/2021,2,0,2,190,0,0,3
San Benito,30/06/2020,1,0,1,25,0,0,0
Stanislaus,27/03/2021,111,15,126,1290,19,1,21
Riverside,16/03/2021,190,32,222,3235,43,6,101
Yuba,17/08/2020,27,1,28,265,5,0,10
Tehama,03/05/2021,3,0,3,52,1,0,2
Calaveras,10/03/2021,0,0,0,33,0,0,6
Madera,07/04/2021,8,10,18,278,3,0,4
Merced,27/04/2021,14,0,14,271,2,0,16
Humboldt,10/05/2021,6,3,9,270,4,0,6
Humboldt,20/02/2021,10,4,14,273,0,1,7
Inyo,17/05/2021,1,0,1,29,0,0,1
Fresno,20/01/2021,560,29,589,1604,84,2,7
Tuolumne,04/11/2020,3,1,4,84,0,1,3
Trinity,19/07/2020,0,0,0,54,0,0,
Siskiyou,22/09/2021,19,0,19,56,5,0,3
San Diego,17/06/2020,283,60,343,6235,130,17,324
Mendocino,04/02/2021,8,1,9,87,3,0,3
Marin,15/06/2021,0,2,2,320,0,1,15
Butte,23/12/2020,81,0,81,451,11,0,10
Tulare,10/10/2020,32,8,40,664,5,1,32
Los Angeles,29/12/2020,7546,279,7825,20330,1528,42,330
Kings,18/07/2021,10,0,10,94,1,0,3
Placer,26/09/2020,25,25,50,756,11,2,37
Santa Barbara,07/05/2021,8,2,10,603,1,0,32
Marin,06/02/2021,23,1,24,327,6,0,11
Riverside,09/04/2020,201,159,,,59,34,133
Sutter,24/06/2020,0,0,0,14,0,0,
El Dorado,14/01/2021,34,0,34,190,9,0,6
Lassen,22/06/2021,3,0,3,25,0,0,0
Napa,06/06/2021,2,0,2,200,2,0,5
San Mateo,01/08/2021,35,4,39,701,9,1,19
Stanislaus,06/12/2020,209,12,221,1296,47,1,18
Alameda,12/09/2021,176,36,212,2488,57,6,91
Orange,10/06/2021,56,10,66,5820,14,0,241
San Francisco,02/09/2021,104,5,109,2172,34,1,67
Mendocino,28/10/2020,0,0,0,150,0,0,4
San Benito,02/11/2020,2,0,2,50,1,0,0
Amador,28/11/2020,1,0,1,51,0,0,4
San Francisco,22/01/2021,200,14,214,2122,52,30,52
Calaveras,24/05/2020,0,1,1,50,0,0,10
Lake,21/09/2020,0,1,1,66,0,0,5
Trinity,26/03/2021,0,0,0,25,0,0,0
Kern,24/08/2021,236,0,236,1166,45,0,35
Lake,07/08/2020,4,0,4,65,4,0,2
Monterey,07/07/2021,6,1,7,724,1,0,24
Sutter,28/01/2021,0,0,0,14,0,0,0
San Mateo,10/07/2020,48,14,62,1056,14,4,56
Sutter,25/12/2020,0,0,0,14,0,0,0
Calaveras,28/03/2021,0,0,0,33,0,0,4
Glenn,05/08/2021,0,0,0,47,0,0,0
Mendocino,15/05/2020,0,0,0,180,0,0,4
Kings,01/08/2020,72,0,72,199,9,0,1
Santa Clara,22/07/2021,87,20,107,3078,19,3,70
Sonoma,02/04/2021,16,1,17,680,4,0,27
Solano,14/07/2021,24,6,30,585,4,4,6
Sutter,24/05/2020,0,0,0,14,0,0,
Calaveras,31/10/2020,0,0,0,33,0,0,7
Napa,27/01/2021,20,1,21,222,8,0,7
Mariposa,24/05/2021,0,0,0,14,0,0,0
Kings,18/04/2020,8,0,,,2,0,1
Yolo,21/02/2021,9,0,9,116,6,0,1
Placer,02/07/2020,17,22,39,753,4,0,24
Placer,07/02/2021,84,17,101,777,21,0,8
Calaveras,25/07/2021,1,0,1,33,1,0,3
Madera,11/08/2021,23,5,28,278,5,0,8
Madera,20/09/2021,26,5,31,278,6,0,4
Tuolumne,08/04/2020,0,0,,,0,0,1
Tehama,05/03/2021,3,0,3,59,1,0,5
El Dorado,27/09/2020,1,0,1,189,1,0,4
San Diego,24/06/2020,333,50,383,6195,152,15,335
Lake,10/03/2021,2,0,2,63,1,0,1
San Diego,08/07/2020,407,76,483,6682,157,14,305
Orange,27/06/2020,492,103,595,6976,170,22,401
Alameda,05/03/2021,131,28,159,2456,36,2,104
San Diego,29/08/2021,658,25,683,6483,181,0,209
Mariposa,27/11/2020,0,0,0,19,0,0,0
Modoc,28/06/2020,0,0,0,41,0,0,
Imperial,06/11/2020,45,0,45,250,15,0,2
San Bernardino,07/04/2020,146,178,,,54,49,126
Madera,25/06/2021,6,9,15,278,2,0,4
Santa Barbara,30/09/2021,42,1,43,614,15,0,18
Nevada,07/12/2020,18,0,18,123,4,0,2
Alameda,15/02/2021,207,38,245,2495,64,3,84
Ventura,22/08/2021,154,11,165,1140,32,0,39
Modoc,10/05/2021,0,0,0,12,0,0,0
El Dorado,31/03/2020,10,9,,,0,6,12
Mariposa,17/07/2021,0,0,0,12,0,0,0
Butte,03/12/2020,47,1,48,451,7,1,21
Sutter,02/04/2020,0,0,,,,,
Tehama,26/07/2020,0,0,0,59,0,0,4
San Diego,17/11/2020,367,51,418,6939,118,11,254
Stanislaus,24/07/2021,81,13,94,1302,22,3,29
Napa,25/04/2021,2,0,2,193,1,0,5
San Bernardino,08/12/2020,1053,87,1140,4010,217,6,82
Kings,04/01/2021,96,0,96,137,14,0,4
Riverside,10/09/2021,574,33,607,3493,135,0,64
San Benito,29/09/2020,1,0,1,25,1,0,1
Mendocino,29/05/2020,2,0,2,180,1,0,3
Calaveras,28/09/2021,1,0,1,33,0,0,4
Glenn,05/04/2021,1,0,1,47,0,0,0
San Francisco,30/10/2020,35,5,40,1861,6,1,77
San Diego,25/11/2020,545,42,587,6801,154,11,218
Sacramento,03/05/2021,99,16,115,2537,17,3,99
Del Norte,01/09/2020,0,0,0,51,0,0,2
Humboldt,31/10/2020,2,0,2,259,0,0,4
Butte,23/08/2020,21,0,21,451,7,0,11
Modoc,12/09/2020,0,0,0,41,0,0,0
Humboldt,28/07/2021,10,3,13,264,4,0,4
Kern,15/11/2020,80,9,89,1266,17,0,51
Sacramento,12/08/2020,253,38,291,2481,85,6,81
Riverside,07/07/2021,68,11,79,3301,11,1,104
Lake,25/07/2021,9,1,10,64,3,0,0
Trinity,08/02/2021,0,0,0,25,0,0,0
Tehama,18/12/2020,8,0,8,59,1,0,2
San Bernardino,29/06/2021,84,7,91,3588,29,4,183
Sonoma,23/07/2020,41,24,65,738,9,5,7
Stanislaus,08/06/2021,62,8,70,1300,12,2,32
Amador,29/11/2020,1,0,1,51,0,0,4
Kings,12/08/2021,54,0,54,129,2,0,3
Glenn,24/05/2020,0,0,0,,0,0,
Los Angeles,16/04/2020,1679,620,,,594,108,608
Fresno,14/05/2021,73,9,82,1520,15,0,14
San Joaquin,20/10/2020,22,8,30,1007,4,0,49
Marin,20/02/2021,14,4,18,327,6,0,14
Sonoma,15/01/2021,101,3,104,680,21,0,4
Modoc,10/05/2020,0,0,0,41,0,0,
Merced,16/10/2020,9,1,10,272,1,1,12
Trinity,02/01/2021,0,0,0,25,0,0,0
Santa Barbara,19/01/2021,206,9,215,598,52,2,14
Lassen,02/09/2020,0,0,0,25,0,0,0
Solano,18/12/2020,109,16,125,595,32,1,12
Kings,12/04/2021,6,0,6,118,0,0,4
Mono,03/05/2020,0,0,0,17,0,0,1
Orange,20/06/2021,54,53,107,5811,14,4,228
Orange,19/07/2021,126,11,137,5759,59,1,181
Solano,25/04/2021,36,7,43,599,5,0,12
Yolo,14/08/2021,16,0,16,117,8,0,0
Santa Cruz,19/12/2020,59,0,59,373,14,0,2
Marin,22/05/2021,2,3,5,339,0,0,12
Tehama,26/05/2021,2,0,2,59,0,0,5
Tulare,28/04/2020,32,2,34,898,6,0,26
Del Norte,20/11/2020,0,0,0,51,0,0,2
Plumas,06/09/2021,5,0,5,35,0,0,0
Lassen,05/08/2020,0,0,0,25,0,0,0
Sonoma,22/07/2020,38,11,49,143,5,2,-9
Napa,06/09/2020,4,5,9,351,1,0,17
Madera,05/06/2020,3,2,5,528,1,2,19
El Dorado,25/10/2020,1,1,2,189,1,1,8
Napa,10/04/2020,0,7,,,0,4,7
Del Norte,18/10/2020,1,0,1,51,0,0,2
Humboldt,25/10/2020,4,2,6,271,1,1,6
San Bernardino,25/05/2020,138,116,254,4821,48,23,245
Riverside,18/08/2021,535,36,571,3466,102,3,89
Butte,04/09/2021,105,0,105,466,15,0,2
Stanislaus,23/07/2021,83,17,100,1304,21,2,28
Butte,08/08/2020,23,0,23,451,7,0,12
Del Norte,11/08/2020,2,1,3,52,1,0,1
Plumas,02/03/2021,0,0,0,35,0,0,0
San Benito,27/01/2021,11,0,11,25,5,0,0
Nevada,14/12/2020,18,1,19,134,2,1,2
Humboldt,31/03/2020,1,11,,,0,4,8
Monterey,10/12/2020,119,3,122,717,18,0,23
Napa,06/09/2021,18,1,19,201,7,0,0
Nevada,08/08/2021,25,0,25,135,1,0,2
Fresno,16/09/2021,366,10,376,1603,81,1,14
San Francisco,27/12/2020,179,5,184,1919,46,0,65
Shasta,11/04/2021,4,0,4,567,2,0,15
Del Norte,03/09/2020,0,0,0,51,0,0,2
San Diego,13/06/2020,284,58,342,6195,118,18,324
Mendocino,13/05/2021,2,0,2,119,2,0,5
Mendocino,17/06/2021,3,0,3,94,2,0,2
San Joaquin,08/08/2021,161,8,169,947,33,1,9
Kings,22/07/2021,14,0,14,115,1,0,3
Plumas,22/08/2020,0,0,0,35,0,0,0
Stanislaus,04/10/2020,54,11,65,1316,20,1,39
Sonoma,06/08/2020,37,14,51,515,10,2,6
Nevada,24/04/2021,2,0,2,131,1,0,3
Santa Clara,24/05/2021,52,8,60,2976,17,1,116
Napa,03/03/2021,4,0,4,218,1,0,6
Inyo,12/09/2020,0,0,0,29,0,0,3
Trinity,22/05/2020,0,0,0,54,0,0,
San Benito,23/11/2020,3,0,3,25,1,0,1
San Joaquin,03/07/2020,165,41,206,1430,40,4,45
Kern,16/10/2020,58,1,59,1338,20,0,53
Trinity,15/04/2020,0,0,,,0,0,
Marin,13/12/2020,26,5,31,339,11,0,5
Marin,31/03/2021,9,3,12,330,3,1,13
Monterey,17/12/2020,151,2,153,717,29,0,18
Yolo,09/01/2021,33,0,33,170,13,0,16
Kern,25/04/2020,29,18,47,1715,22,3,56
Humboldt,25/04/2021,12,4,16,265,4,0,7
Monterey,20/10/2020,21,0,21,729,10,0,34
Kern,03/09/2020,119,6,125,1322,37,0,44
Fresno,21/02/2021,231,13,244,1493,58,1,28
Yuba,26/06/2021,12,0,12,261,4,0,6
Lassen,02/05/2021,0,0,0,25,0,0,0
Contra Costa,24/05/2021,25,8,33,1247,7,1,47
San Mateo,17/04/2020,51,16,,,16,1,22
Sacramento,28/10/2020,83,26,109,2467,14,8,69
Mariposa,28/02/2021,0,0,0,14,0,0,0
Sonoma,26/05/2021,6,1,7,683,2,0,23
Trinity,19/09/2021,0,0,0,25,0,0,0
Contra Costa,09/04/2021,34,6,40,1302,11,0,51
Marin,09/09/2021,13,3,16,320,6,1,13
Santa Barbara,01/05/2020,28,10,38,717,13,2,77
Sacramento,01/02/2021,325,19,344,2624,93,6,68
Marin,09/06/2020,6,4,10,390,3,1,11
Lassen,04/11/2020,0,0,0,25,0,0,0
Solano,21/05/2021,23,11,34,590,4,2,23
San Luis Obispo,03/07/2020,8,3,11,476,4,0,39
Solano,28/04/2020,12,16,28,592,5,0,61
Plumas,31/10/2020,0,0,0,35,0,0,0
Modoc,22/09/2020,0,0,0,41,0,0,0
Tulare,02/12/2020,100,10,110,679,12,1,22
San Bernardino,03/10/2021,285,12,297,3641,97,0,153
Orange,27/05/2020,307,111,418,6993,125,19,403
Calaveras,29/05/2021,0,0,0,33,0,0,4
Yuba,25/02/2021,21,0,21,261,6,0,2
Placer,28/09/2020,24,28,52,742,9,2,30
Lake,24/05/2021,2,0,2,64,1,0,2
Del Norte,06/08/2021,14,0,14,52,6,0,0
Tulare,14/05/2021,16,4,20,667,0,0,20
Tehama,21/02/2021,2,0,2,59,0,0,3
Imperial,17/06/2021,4,0,4,236,2,0,7
Mendocino,21/11/2020,3,0,3,177,3,0,5
Amador,11/01/2021,8,0,8,52,3,0,0
Alameda,27/07/2020,198,51,249,2142,65,10,98
Yuba,13/06/2021,17,1,18,261,3,0,3
Lake,02/06/2021,0,0,0,64,0,0,3
San Diego,06/02/2021,1074,43,1117,6478,325,11,179
Santa Clara,14/05/2020,51,40,91,3306,21,4,172
Santa Cruz,13/10/2020,17,0,17,389,5,0,16
Inyo,14/04/2020,10,156,,,0,1,5
Shasta,03/05/2021,11,0,11,567,1,0,21
Kern,17/08/2020,170,13,183,1297,70,0,31
Kern,22/06/2021,23,5,28,1158,7,0,45
Ventura,01/04/2020,22,96,,,5,23,27
San Joaquin,14/11/2020,72,9,81,1030,17,0,29
Placer,28/04/2020,5,21,26,340,1,2,103
Butte,30/03/2020,4,12,,,2,1,5
Stanislaus,02/08/2020,205,47,252,1230,49,4,25
Riverside,23/03/2021,143,32,175,3291,32,1,93
Lake,16/04/2020,1,0,,,0,0,1
Los Angeles,07/08/2020,1568,478,2046,18941,519,64,814
Del Norte,15/05/2021,0,0,0,53,0,0,2
Trinity,04/12/2020,0,0,0,25,0,0,0
San Diego,24/01/2021,1440,51,1491,6489,412,11,163
Shasta,28/12/2020,42,0,42,567,4,0,7
San Benito,17/03/2021,0,0,0,25,0,0,0
Shasta,24/04/2021,8,0,8,567,2,0,18
Stanislaus,29/10/2020,68,27,95,1337,17,1,10
Tehama,28/03/2021,4,0,4,59,0,0,3
Los Angeles,24/08/2020,1186,450,1636,19226,373,53,917
Modoc,17/06/2020,0,0,0,41,0,0,
Riverside,21/01/2021,1455,123,1578,3415,330,12,26
Amador,07/05/2020,0,0,0,51,0,0,1
Imperial,18/07/2020,92,1,93,298,24,1,6
Placer,15/04/2020,13,11,,,2,4,12
Madera,03/01/2021,53,7,60,288,10,0,6
San Mateo,28/12/2020,157,8,165,724,36,3,27
Glenn,29/09/2020,0,0,0,47,0,0,0
Madera,02/09/2021,31,8,39,278,9,1,2
San Diego,13/03/2021,279,24,303,6470,92,5,297
Los Angeles,22/09/2021,991,96,1087,19286,314,8,552
Inyo,12/10/2020,1,0,1,29,0,0,2
Yuba,27/07/2021,18,0,18,261,4,0,7
Butte,07/05/2021,9,0,9,451,2,0,16
Plumas,02/09/2020,0,0,0,35,0,0,0
Mariposa,15/08/2021,0,0,0,12,0,0,0
Napa,20/08/2021,14,1,15,206,6,0,0
Lassen,21/12/2020,5,0,5,25,0,0,0
Del Norte,11/12/2020,2,0,2,51,1,0,1
Trinity,07/07/2021,0,0,0,25,0,0,0
Mariposa,14/11/2020,0,0,0,19,0,0,0
Tulare,26/03/2021,27,3,30,667,5,0,19
San Benito,08/02/2021,11,0,11,25,4,0,0
Mono,09/04/2020,18,15,,,0,0,2
Napa,07/08/2021,16,4,20,195,3,0,3
Nevada,15/08/2020,2,0,2,115,0,0,1
Riverside,21/09/2020,146,52,198,3363,42,10,108
Fresno,02/09/2021,393,10,403,1582,93,0,6
Sonoma,16/07/2020,32,14,46,858,14,1,39
Santa Cruz,07/04/2020,4,4,,,4,3,4
San Bernardino,09/09/2020,210,60,270,3836,81,6,161
Riverside,18/08/2020,301,108,409,3389,97,13,84
Mariposa,20/08/2021,0,0,0,12,0,0,0
Trinity,08/10/2020,0,0,0,25,0,0,0
Tuolumne,15/04/2021,1,0,1,84,1,0,4
Yolo,14/09/2021,21,0,21,132,7,0,1
Siskiyou,23/05/2020,0,2,2,65,0,1,5
Mendocino,09/07/2021,6,0,6,120,5,0,6
San Diego,12/09/2021,517,27,544,6508,175,1,181
Glenn,21/10/2020,0,0,0,47,0,0,0
Los Angeles,27/10/2020,750,267,1017,20060,229,38,762
Calaveras,02/09/2021,6,0,6,33,2,0,4
Kings,01/04/2021,6,0,6,116,0,0,2
Plumas,14/06/2020,0,0,0,45,0,0,
Lassen,17/06/2021,3,0,3,25,0,0,0
San Bernardino,05/10/2020,186,53,239,3844,50,6,169
Stanislaus,14/12/2020,334,14,348,1296,60,5,16
Monterey,09/07/2020,46,1,47,845,9,0,93
Kings,19/03/2021,17,0,17,119,1,0,4
Trinity,29/12/2020,0,0,0,25,0,0,0
Riverside,10/05/2021,74,20,94,3218,16,1,107
Humboldt,04/04/2020,1,4,,,0,0,7
Santa Clara,10/11/2020,109,26,135,3044,28,6,52
Yuba,05/06/2021,9,0,9,261,1,0,1
Fresno,23/06/2020,91,48,139,2133,22,0,83
Monterey,06/04/2021,16,0,16,720,0,0,22
Santa Barbara,12/12/2020,78,1,79,688,20,0,45
Ventura,26/07/2021,58,9,67,1120,8,2,58
San Mateo,07/12/2020,83,12,95,742,20,1,34
Merced,01/09/2021,45,0,45,272,12,0,5
Kings,10/08/2021,49,0,49,127,3,0,3
Stanislaus,05/08/2021,148,10,158,1307,36,2,26
Lake,01/06/2021,0,0,0,64,0,0,1
Ventura,06/04/2020,22,106,,,9,20,32
Monterey,16/05/2021,7,0,7,716,1,0,30
Nevada,20/02/2021,2,0,2,115,1,0,2
Alameda,16/05/2020,81,64,145,2446,40,10,114
Santa Barbara,17/12/2020,98,5,103,688,23,2,38
Amador,25/08/2021,13,0,13,53,6,0,0
Modoc,13/06/2021,0,0,0,12,0,0,0
Orange,22/06/2021,55,12,67,5768,11,1,165
Trinity,14/02/2021,0,0,0,25,0,0,0
Siskiyou,25/11/2020,12,0,12,56,2,0,8
Tulare,14/08/2021,101,6,107,645,12,0,15
Contra Costa,29/04/2021,21,10,31,1314,7,1,53
Sonoma,05/06/2020,3,69,72,871,2,8,54
El Dorado,05/05/2020,0,4,4,185,0,0,9
Yuba,30/10/2020,8,1,9,265,0,0,8
Imperial,20/03/2021,13,1,14,234,5,0,5
San Luis Obispo,14/05/2020,2,3,5,526,1,0,21
Ventura,11/10/2020,31,12,43,1235,18,1,59
Humboldt,05/05/2021,12,3,15,274,3,3,10
Humboldt,10/05/2020,2,4,6,352,0,0,3
San Diego,06/05/2021,140,8,148,6491,36,2,217
San Diego,02/03/2021,443,29,472,6484,142,7,228
Modoc,23/08/2021,0,0,0,12,0,0,0
Los Angeles,28/09/2021,871,98,969,19197,249,5,545
Fresno,07/11/2020,110,21,131,1673,22,3,17
Lake,22/05/2020,0,2,2,110,0,0,3
Sonoma,11/07/2020,25,8,33,862,4,1,55
Santa Clara,01/07/2021,44,8,52,3082,14,1,90
Amador,27/09/2020,0,0,0,51,0,0,3
Del Norte,19/08/2020,0,0,0,51,0,0,5
Yolo,24/05/2021,3,0,3,123,2,0,5
San Francisco,19/10/2020,25,5,30,1758,8,2,78
Kings,16/05/2020,20,2,22,199,2,1,2
Placer,07/08/2021,137,7,144,769,29,1,13
Mendocino,01/10/2021,7,1,8,92,2,0,2
Glenn,23/03/2021,0,0,0,47,0,0,0
Nevada,17/08/2020,1,2,3,127,0,0,7
Orange,25/06/2021,45,7,52,5804,6,2,165
Tuolumne,18/04/2021,1,0,1,84,0,0,0
Kern,01/09/2020,117,10,127,1321,39,0,43
Yuba,23/11/2020,31,0,31,265,6,0,5
Lake,05/10/2020,0,3,3,65,0,2,1
Nevada,11/05/2020,0,1,1,114,0,1,7
Modoc,09/08/2021,1,0,1,12,0,0,0
Contra Costa,29/08/2021,206,20,226,1379,60,4,48
Amador,08/02/2021,4,0,4,52,0,0,3
Mariposa,03/10/2021,0,0,0,12,0,0,0
Glenn,21/04/2020,0,0,0,,0,0,
Los Angeles,11/10/2020,692,353,1045,19844,190,50,999
Solano,05/07/2020,39,8,47,707,11,1,40
Siskiyou,17/04/2021,0,0,0,56,0,0,3
Santa Cruz,04/07/2020,10,5,15,397,2,0,25
Mendocino,09/04/2021,4,0,4,85,1,0,4
Yuba,02/01/2021,69,12,81,261,20,0,1
Santa Clara,05/06/2020,43,32,75,3375,18,6,206
Imperial,30/11/2020,82,0,82,265,14,0,2
Humboldt,26/04/2021,13,2,15,272,5,0,5
Mendocino,07/09/2020,4,0,4,150,2,0,2
Del Norte,26/07/2021,2,0,2,54,2,0,2
Mono,22/08/2021,2,0,2,17,1,0,1
Trinity,18/12/2020,0,0,0,25,0,0,0
Santa Clara,21/09/2021,152,29,181,3082,38,1,59
Santa Clara,18/02/2021,255,19,274,3060,82,4,50
Stanislaus,11/09/2021,306,12,318,1371,67,1,13
Lassen,03/04/2020,0,3,,,0,0,
San Francisco,31/05/2021,10,0,10,2145,7,0,102
Sonoma,28/01/2021,89,6,95,642,22,0,13
Siskiyou,19/12/2020,8,0,8,56,2,0,8
Napa,25/07/2021,8,1,9,205,2,0,5
Placer,05/01/2021,180,22,202,742,27,5,20
Tehama,06/09/2021,26,0,26,59,7,0,0
Stanislaus,18/06/2020,56,37,93,1369,21,3,88
Santa Clara,17/08/2020,170,18,188,3060,51,1,123
