date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
01/01/2021,Sierra,County,3115,0,34,0,0,2,1688,0,31,0,26,0,0,7
02/01/2021,Sierra,County,3115,0,34,0,0,2,1690,0,31,2,28,0,0,8
03/01/2021,Sierra,County,3115,0,34,0,0,2,1692,0,31,2,30,0,0,8
04/01/2021,Sierra,County,3115,0,34,0,0,21,1713,1,32,0,30,0,0,7
05/01/2021,Sierra,County,3115,1,35,0,0,29,1742,1,33,1,31,0,0,6
06/01/2021,Sierra,County,3115,0,35,0,0,10,1752,0,33,0,31,0,0,4
07/01/2021,Sierra,County,3115,1,36,0,0,8,1760,0,33,0,31,0,0,5
08/01/2021,Sierra,County,3115,0,36,0,0,6,1766,0,33,0,31,0,0,8
09/01/2021,Sierra,County,3115,0,36,0,0,2,1768,0,33,1,32,0,0,10
10/01/2021,Sierra,County,3115,2,38,0,0,3,1771,0,33,0,32,0,0,7
11/01/2021,Sierra,County,3115,1,39,0,0,22,1793,2,35,1,33,0,0,3
12/01/2021,Sierra,County,3115,1,40,0,0,33,1826,4,39,0,33,0,0,3
13/01/2021,Sierra,County,3115,2,42,0,0,17,1843,1,40,0,33,0,0,3
14/01/2021,Sierra,County,3115,0,42,0,0,8,1851,1,41,2,35,0,0,3
15/01/2021,Sierra,County,3115,0,42,0,0,10,1861,1,42,1,36,0,0,5
16/01/2021,Sierra,County,3115,1,43,0,0,1,1862,0,42,2,38,0,0,7
17/01/2021,Sierra,County,3115,1,44,0,0,1,1863,0,42,0,38,0,0,7
18/01/2021,Sierra,County,3115,0,44,0,0,7,1870,0,42,2,40,0,0,7
19/01/2021,Sierra,County,3115,1,45,0,0,8,1878,0,42,0,40,0,0,5
20/01/2021,Sierra,County,3115,0,45,0,0,8,1886,0,42,0,40,0,0,4
