date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
21/01/2021,Sierra,County,3115,0,45,0,0,13,1899,0,42,0,40,0,0,4
22/01/2021,Sierra,County,3115,0,45,0,0,8,1907,1,43,0,40,0,0,3
23/01/2021,Sierra,County,3115,0,45,0,0,6,1913,1,44,1,41,0,0,4
24/01/2021,Sierra,County,3115,0,45,0,0,2,1915,0,44,1,42,0,0,6
25/01/2021,Sierra,County,3115,1,46,0,0,15,1930,1,45,0,42,0,0,1
26/01/2021,Sierra,County,3115,0,46,0,0,4,1934,0,45,1,43,0,0,3
27/01/2021,Sierra,County,3115,0,46,0,0,18,1952,1,46,1,44,0,0,3
28/01/2021,Sierra,County,3115,0,46,0,0,8,1960,0,46,-1,43,0,0,8
29/01/2021,Sierra,County,3115,0,46,0,0,2,1962,0,46,0,43,0,0,2
30/01/2021,Sierra,County,3115,0,46,0,0,2,1964,0,46,0,43,0,0,27
31/01/2021,Sierra,County,3115,0,46,0,0,0,1964,0,46,0,43,0,0,3
01/02/2021,Sierra,County,3115,1,47,0,0,21,1985,0,46,-1,42,0,0,6
02/02/2021,Sierra,County,3115,0,47,0,0,11,1996,0,46,0,42,0,0,4
03/02/2021,Sierra,County,3115,0,47,0,0,14,2010,1,47,0,42,0,0,5
04/02/2021,Sierra,County,3115,0,47,0,0,21,2031,0,47,0,42,0,0,3
05/02/2021,Sierra,County,3115,0,47,0,0,8,2039,0,47,0,42,0,0,0
06/02/2021,Sierra,County,3115,0,47,0,0,1,2040,0,47,1,43,0,0,39
07/02/2021,Sierra,County,3115,0,47,0,0,1,2041,0,47,0,43,0,0,10
08/02/2021,Sierra,County,3115,0,47,0,0,28,2069,1,48,1,44,0,0,9
09/02/2021,Sierra,County,3115,0,47,0,0,7,2076,0,48,0,44,0,0,0
